rank	token	news_count	paper_count	total_count
1	automation	3493	140	3633
2	software	2027	430	2457
3	politics	72	721	793
4	manufacturing	640	19	659
5	cost_control	583	16	599
6	productivity	483	108	591
7	office_automation	519	19	538
8	data_processing	432	68	500
9	small_business	463	9	472
10	population	35	414	449
11	electronic_data_interchange	436	8	444
12	user_interface	345	81	426
13	architecture	213	186	399
14	fuzzy_logic	31	330	361
15	information_technology	274	43	317
16	visualization	36	280	316
17	earnings	258	21	279
18	information_management	247	27	274
19	health_care	128	143	271
20	retail_banking	263	6	269
21	data_compression	157	106	263
22	strategic_planning	216	41	257
23	interoperability	221	35	256
24	publishing	182	73	255
25	heuristic	18	211	229
26	documentation	124	103	227
27	competitive_advantage	178	49	227
28	legislation	166	57	223
29	inventory_control	196	23	219
30	radar	21	195	216
31	computer_graphics	116	93	209
32	bankruptcy	175	13	188
33	cybernetics	147	38	185
34	outsourcing	174	10	184
35	cost_reduction	170	13	183
36	revenue	152	28	180
37	computer_programming	168	11	179
38	animation	103	76	179
39	data_collection	118	59	177
40	purchasing	129	43	172
41	higher_education	85	87	172
42	disease	51	118	169
43	aviation	120	43	163
44	application_programming_interface	157	6	163
45	data_integrity	144	18	162
46	information_storage	148	13	161
47	human_resources	127	30	157
48	agriculture	64	92	156
49	industrial_production	146	5	151
50	records_management	140	9	149
51	local_government	115	30	145
52	empowerment	97	45	142
53	pharmacy	114	25	139
54	strategic_management	116	22	138
55	plasma	39	99	138
56	law_enforcement	118	19	137
57	interactive_television	130	6	136
58	silicon	60	74	134
59	digitization	99	33	132
60	remote_control	103	24	127
61	syntax	20	106	126
62	grammar	23	103	126
63	financial_management	115	10	125
64	virtual_reality	50	71	121
65	market_research	113	7	120
66	handwriting	79	37	116
67	inventory_management	110	6	116
68	medical_equipment	111	5	116
69	natural_language	21	95	116
70	unemployment	94	20	114
71	usability	71	42	113
72	microscopy	15	98	113
73	risk_management	84	27	111
74	child_development	91	19	110
75	interactive_media	93	16	109
76	spatial_analysis	39	70	109
77	air_traffic_control	81	25	106
78	information_processing	54	50	104
79	human_resource_management	74	28	102
80	electronics	47	55	102
81	word_processing	86	16	102
82	cash_flow	88	14	102
83	radio_frequency	63	38	101
84	vocational_education	73	28	101
85	project_management	43	58	101
86	enforcement	57	42	99
87	certification	47	52	99
88	personality	25	73	98
89	real_estate	80	17	97
90	linear_programming	21	76	97
91	spacecraft	12	85	97
92	order_entry	91	5	96
93	photography	53	43	96
94	access_control	69	27	96
95	technological_change	38	58	96
96	database_design	50	45	95
97	organizational_structure	66	29	95
98	fault_tolerance	39	55	94
99	news_media	87	5	92
100	petroleum_industry	70	21	91
101	tourism	35	55	90
102	systems_design	56	33	89
103	venture_capital	83	6	89
104	energy_consumption	63	25	88
105	professional_development	42	46	88
106	space_shuttle	50	37	87
107	welfare	34	53	87
108	clothing	62	23	85
109	broadband	19	66	85
110	economies_of_scale	71	11	82
111	shipbuilding	66	15	81
112	electricity	56	25	81
113	workforce	56	22	78
114	organizational_change	67	11	78
115	biometrics	17	61	78
116	willingness_to_pay	67	10	77
117	rapid_prototyping	51	26	77
118	consciousness	34	43	77
119	information_sharing	63	13	76
120	market_segmentation	30	46	76
121	materials_management	71	5	76
122	emerging_markets	67	9	76
123	accountability	40	36	76
124	data_transmission	52	23	75
125	technology_transfer	54	18	72
126	multiprocessing	29	43	72
127	public_access	66	5	71
128	public_sector	47	23	70
129	telematics	53	16	69
130	international_business	56	13	69
131	literacy	18	51	69
132	preventive_maintenance	55	13	68
133	debugging	20	48	68
134	liability	33	34	67
135	poetry	10	57	67
136	labor_relations	59	7	66
137	cryptography	38	27	65
138	snow	42	22	64
139	special_education	35	29	64
140	globalization	46	17	63
141	popularity	23	39	62
142	nondestructive_testing	20	41	61
143	economic_analysis	48	13	61
144	legal_profession	53	7	60
145	monetary_policy	40	20	60
146	older_people	44	15	59
147	turnover	47	12	59
148	construction_industry	46	12	58
149	educational_technology	36	22	58
150	confidentiality	39	19	58
151	world_war_ii	46	11	57
152	solid_modeling	33	23	56
153	interior_design	51	5	56
154	copper	25	31	56
155	immigration	19	37	56
156	enterprise_resource_planning	44	11	55
157	currency	40	15	55
158	ethernet	38	17	55
159	credibility	31	23	54
160	graduate_students	37	17	54
161	diarrhea	48	5	53
162	readability	32	21	53
163	brainstorming	17	36	53
164	primary_care	35	17	52
165	intellectual_property	39	13	52
166	radiation_therapy	28	24	52
167	risk_assessment	16	35	51
168	personal_income	46	5	51
169	desktop_publishing	44	7	51
170	customer_satisfaction	20	31	51
171	continuing_education	37	14	51
172	natural_gas	37	13	50
173	interactive_learning	41	9	50
174	cornea	30	20	50
175	sugar	31	18	49
176	video_production	41	8	49
177	accreditation	22	27	49
178	gallium_arsenide	30	19	49
179	emulation	27	22	49
180	demographics	26	22	48
181	new_testament	40	7	47
182	batch_processing	27	19	46
183	waste_disposal	33	13	46
184	human_capital	15	30	45
185	inner_city	40	5	45
186	design_of_experiments	21	24	45
187	relocation	27	18	45
188	data_entry	34	11	45
189	legal_research	36	9	45
190	space_exploration	19	25	44
191	dilution	28	16	44
192	gossip	35	9	44
193	english_language	31	13	44
194	typography	30	14	44
195	human_body	20	23	43
196	traffic_congestion	14	29	43
197	squid	19	24	43
198	mass_media	29	14	43
199	speculation	28	15	43
200	pessimism	23	18	41
201	site_selection	16	25	41
202	group_technology	28	12	40
203	jurisdiction	27	13	40
204	psychosis	27	12	39
205	deregulation	26	13	39
206	best_practice	27	12	39
207	metaphysics	12	27	39
208	transportation_planning	22	16	38
209	energy_conservation	26	12	38
210	hemodynamics	18	19	37
211	credit_risk	29	8	37
212	business_ethics	29	7	36
213	default	14	22	36
214	censorship	26	10	36
215	livestock	20	16	36
216	night_vision	22	12	34
217	entertainment	6	28	34
218	public_domain	23	10	33
219	zoning	17	16	33
220	national_security	21	12	33
221	abdomen	21	12	33
222	nursing_care	15	18	33
223	social_skills	15	18	33
224	data_exchange	18	14	32
225	deception	20	11	31
226	public_finance	12	19	31
227	redevelopment	22	8	30
228	drug_trafficking	25	5	30
229	free_trade	21	9	30
230	weather_forecasting	22	7	29
231	military_personnel	19	10	29
232	osteoporosis	19	9	28
233	assisted_suicide	22	6	28
234	civil_rights	20	8	28
235	journalism	18	9	27
236	geriatrics	22	5	27
237	retail_sales	21	6	27
238	respiration	17	9	26
239	human_error	10	16	26
240	yarn	18	7	25
241	crime_prevention	17	8	25
242	cobol	17	8	25
243	nickel	14	10	24
244	fire_protection	17	6	23
245	military_technology	17	6	23
246	laparoscopy	15	8	23
247	treasure	15	8	23
248	information_science	15	7	22
249	performance_management	16	6	22
250	cd-rom	13	8	21
251	international_law	6	15	21
252	solar_energy	13	8	21
253	professional_standards	13	5	18
254	cheating	6	10	16
255	sales_management	7	7	14
256	postal_service	9	5	14
