rank	token	news_count	paper_count	total_count
1	automation	3689	142	3831
2	software	2041	421	2462
3	banking_industry	882	5	887
4	politics	93	686	779
5	cost_control	757	7	764
6	manufacturing	730	8	738
7	small_business	551	9	560
8	productivity	404	81	485
9	population	39	403	442
10	computer_programming	397	8	405
11	user_interface	289	87	376
12	fuzzy_logic	35	339	374
13	financial_services	350	19	369
14	competitive_advantage	294	50	344
15	data_processing	293	48	341
16	visualization	38	300	338
17	architecture	140	192	332
18	information_management	315	16	331
19	information_technology	262	56	318
20	health_care	116	170	286
21	radar	55	206	261
22	earnings	235	24	259
23	strategic_planning	221	33	254
24	cost_reduction	245	8	253
25	heuristic	26	226	252
26	traffic_congestion	175	51	226
27	aviation	182	37	219
28	data_compression	110	104	214
29	revenue	161	33	194
30	electronics	138	55	193
31	legislation	128	62	190
32	documentation	118	70	188
33	kinematics	30	157	187
34	computer_graphics	96	89	185
35	market_research	163	9	172
36	cash_flow	163	7	170
37	access_control	137	28	165
38	local_government	148	15	163
39	inventory_control	135	27	162
40	cancer	67	94	161
41	law_enforcement	136	23	159
42	disease	22	137	159
43	virtual_reality	73	80	153
44	standardization	85	67	152
45	bankruptcy	142	10	152
46	transportation_planning	127	24	151
47	interoperability	119	29	148
48	tomography	32	114	146
49	energy_consumption	114	31	145
50	publishing	83	60	143
51	air_traffic_control	94	45	139
52	purchasing	92	47	139
53	pharmacy	119	20	139
54	real_estate	120	18	138
55	agriculture	43	93	136
56	project_management	102	30	132
57	plasma	28	100	128
58	materials_management	119	5	124
59	animation	43	79	122
60	tourism	86	34	120
61	word_processing	104	16	120
62	product_testing	113	7	120
63	industrial_production	109	8	117
64	unemployment	91	26	117
65	interpersonal_communication	46	71	117
66	higher_education	24	92	116
67	security_management	109	7	116
68	medical_equipment	111	5	116
69	air_conditioning	92	24	116
70	natural_language	31	85	116
71	application_programming_interface	107	8	115
72	vocational_education	94	20	114
73	censorship	107	7	114
74	fault_tolerance	54	59	113
75	microscopy	18	95	113
76	data_collection	57	56	113
77	air_pollution	89	24	113
78	systems_design	67	45	112
79	risk_assessment	72	38	110
80	pharmaceutical_industry	101	9	110
81	private_sector	86	23	109
82	data_integrity	92	16	108
83	spacecraft	24	83	107
84	transportation_industry	97	9	106
85	growth_rate	94	11	105
86	digitization	73	29	102
87	empowerment	80	21	101
88	rapid_prototyping	79	20	99
89	dilution	86	13	99
90	outsourcing	81	17	98
91	certification	39	58	97
92	interactive_media	80	16	96
93	photography	57	38	95
94	blood_pressure	29	65	94
95	strategic_management	74	20	94
96	customer_satisfaction	71	23	94
97	cd-rom	85	9	94
98	silicon	18	73	91
99	consumer_protection	79	11	90
100	usability	38	52	90
101	computer_simulation	46	41	87
102	batch_processing	80	6	86
103	photogrammetry	40	46	86
104	biometrics	32	54	86
105	patient_satisfaction	68	17	85
106	welfare	26	58	84
107	arbitration	71	13	84
108	human_resources	57	27	84
109	cybernetics	47	37	84
110	linear_programming	17	67	84
111	site_selection	47	36	83
112	cable_television	75	7	82
113	snow	67	15	82
114	construction_industry	76	6	82
115	consciousness	25	57	82
116	information_processing	42	40	82
117	network_security	71	9	80
118	mental_health	26	54	80
119	handwriting	46	33	79
120	medical_imaging	21	57	78
121	cad	7	71	78
122	public_sector	59	18	77
123	economies_of_scale	61	16	77
124	environmental_law	69	8	77
125	precipitation	41	36	77
126	space_exploration	52	24	76
127	remote_control	57	19	76
128	radio_frequency	42	33	75
129	risk_management	44	31	75
130	metadata	63	11	74
131	social_security	64	8	72
132	literacy	34	38	72
133	creativity	19	51	70
134	drilling	46	23	69
135	database_design	18	50	68
136	information_sharing	58	10	68
137	enforcement	26	42	68
138	metaphor	8	60	68
139	solid_modeling	31	37	68
140	human_rights	37	30	67
141	science_education	30	37	67
142	poverty	48	18	66
143	copper	40	25	65
144	philosophy_of_science	25	39	64
145	capital_punishment	58	6	64
146	rehabilitation	18	46	64
147	data_transmission	36	27	63
148	contamination	17	46	63
149	emerging_markets	52	10	62
150	clothing	44	18	62
151	humidity	41	21	62
152	special_education	35	26	61
153	ethernet	49	12	61
154	business_information	54	5	59
155	debugging	28	31	59
156	intellectual_property	36	23	59
157	educational_technology	36	23	59
158	land_use	19	40	59
159	public_interest	52	6	58
160	currency	40	18	58
161	life_insurance	52	5	57
162	technological_change	13	44	57
163	painting	21	35	56
164	english_language	37	19	56
165	world_war_ii	34	22	56
166	variables	34	21	55
167	technology_transfer	34	21	55
168	code_division_multiple_access	26	29	55
169	professional_development	22	33	55
170	espionage	49	5	54
171	petroleum_industry	44	10	54
172	nursing_homes	42	12	54
173	data_exchange	37	16	53
174	alcohol	31	22	53
175	medical_research	47	5	52
176	inventory_management	44	8	52
177	computer_literacy	47	5	52
178	monetary_policy	37	15	52
179	shipbuilding	32	20	52
180	public_policy	19	33	52
181	energy_conservation	42	9	51
182	reverse_engineering	38	12	50
183	space_shuttle	28	21	49
184	sulfur	37	12	49
185	environmental_education	37	12	49
186	labor_relations	41	6	47
187	immigration	20	27	47
188	adult_education	34	13	47
189	asthma	37	9	46
190	demographics	17	29	46
191	organizational_structure	33	13	46
192	mass_media	32	13	45
193	judaism	30	15	45
194	entrepreneurship	24	21	45
195	materialism	37	7	44
196	honesty	33	11	44
197	readability	28	16	44
198	national_security	35	8	43
199	entertainment	19	24	43
200	information_theory	6	37	43
201	willingness_to_pay	30	12	42
202	racism	24	18	42
203	group_technology	29	13	42
204	urban_planning	19	23	42
205	news_media	35	6	41
206	enterprise_resource_planning	36	5	41
207	gasoline	34	7	41
208	economic_statistics	36	5	41
209	business_ethics	21	19	40
210	buddhism	29	11	40
211	information_science	28	12	40
212	case_management	31	8	39
213	journalism	27	12	39
214	accreditation	12	27	39
215	sales_management	28	10	38
216	human_resource_management	16	22	38
217	primary_care	14	24	38
218	sperm	22	15	37
219	deregulation	14	22	36
220	preventive_maintenance	21	15	36
221	football	26	10	36
222	hydraulics	27	9	36
223	graduate_students	17	19	36
224	critical_thinking	15	20	35
225	human_error	18	17	35
226	default	16	19	35
227	inner_city	29	6	35
228	affirmative_action	27	7	34
229	free_trade	26	7	33
230	performance_management	27	6	33
231	transactional_analysis	27	6	33
232	opera	27	6	33
233	water_pollution	26	6	32
234	management_styles	26	6	32
235	meditation	25	7	32
236	arbitrage	22	9	31
237	systems_management	25	5	30
238	weather_forecasting	19	11	30
239	middle_east	25	5	30
240	algae	21	8	29
241	industrial_revolution	18	11	29
242	nicotine	20	9	29
243	workforce	7	21	28
244	livestock	17	11	28
245	foreign_exchange	14	12	26
246	management_accounting	11	12	23
247	legal_research	12	11	23
248	interactive_learning	16	7	23
249	night_vision	10	10	20
250	braille	10	10	20
251	harassment	12	6	18
252	propane	11	7	18
253	relocation	8	9	17
254	waste_disposal	5	6	11
255	charcoal	5	6	11
