rank	token	news_count	paper_count	total_count
1	automation	3999	144	4143
2	software	2231	413	2644
3	office_automation	1014	7	1021
4	manufacturing	930	9	939
5	productivity	695	95	790
6	politics	37	703	740
7	cost_control	732	7	739
8	banking_industry	716	8	724
9	information_technology	415	53	468
10	data_processing	399	59	458
11	financial_services	446	10	456
12	outsourcing	335	15	350
13	information_management	324	18	342
14	electronic_data_interchange	322	8	330
15	small_business	311	6	317
16	visualization	44	271	315
17	publishing	249	55	304
18	user_interface	219	85	304
19	fuzzy_logic	63	237	300
20	cost_reduction	253	10	263
21	strategic_planning	227	33	260
22	financial_analysis	248	6	254
23	organizational_structure	229	25	254
24	radar	35	209	244
25	inventory_control	222	19	241
26	legislation	170	69	239
27	architecture	65	165	230
28	fault_tolerance	173	53	226
29	data_compression	117	108	225
30	graphics	92	132	224
31	electronics	161	55	216
32	health_care	59	156	215
33	competitive_advantage	179	32	211
34	life_insurance	198	12	210
35	data_collection	147	56	203
36	silicon	93	109	202
37	calibration	42	159	201
38	computer_graphics	69	131	200
39	net_income	192	6	198
40	medical_equipment	184	8	192
41	product_testing	181	5	186
42	computer_programming	178	5	183
43	human_resource_management	138	33	171
44	aviation	131	39	170
45	purchasing	122	44	166
46	pharmaceutical_industry	145	19	164
47	financial_management	155	5	160
48	documentation	76	78	154
49	handwriting	102	52	154
50	magnetic_resonance_imaging	30	124	154
51	agriculture	53	100	153
52	bankruptcy	144	9	153
53	risk_management	112	41	153
54	cash_flow	135	6	141
55	performance_management	133	5	138
56	project_management	96	40	136
57	interoperability	123	12	135
58	earnings	113	21	134
59	human_resources	98	32	130
60	unemployment	93	34	127
61	risk_assessment	95	31	126
62	market_segmentation	90	35	125
63	batch_processing	109	16	125
64	database_design	76	49	125
65	cad	33	92	125
66	plasma	17	107	124
67	usability	76	47	123
68	customer_satisfaction	116	7	123
69	market_research	111	6	117
70	working_hours	110	5	115
71	multiprocessing	55	60	115
72	certification	73	42	115
73	technological_change	68	45	113
74	international_business	101	11	112
75	radiation	33	79	112
76	animation	47	65	112
77	information_storage	104	7	111
78	traffic_congestion	81	28	109
79	ethernet	97	11	108
80	solid_modeling	67	41	108
81	strategic_management	91	17	108
82	information_processing	48	60	108
83	technology_transfer	72	35	107
84	dilution	85	19	104
85	systems_design	53	51	104
86	interpersonal_communication	25	78	103
