rank	token	news_count	paper_count	total_count
1	automation	5971	170	6141
2	software	2083	405	2488
3	banking_industry	1475	10	1485
4	cost_control	1233	9	1242
5	productivity	856	93	949
6	data_processing	762	69	831
7	politics	97	721	818
8	office_automation	688	6	694
9	retail_banking	612	9	621
10	manufacturing	572	22	594
11	population	99	473	572
12	legislation	511	35	546
13	electronics	471	55	526
14	financial_services	471	13	484
15	cost_reduction	459	14	473
16	strategic_planning	420	26	446
17	small_business	408	14	422
18	electronic_data_interchange	386	7	393
19	information_management	354	14	368
20	graphics	170	155	325
21	technology_transfer	289	22	311
22	organizational_structure	286	19	305
23	fuzzy_logic	54	242	296
24	earnings	253	22	275
25	risk_management	245	21	266
26	continuing_education	238	12	250
27	bankruptcy	240	9	249
28	competitive_advantage	215	20	235
29	radar	17	215	232
30	radiation	135	91	226
31	health_care	81	142	223
32	cybernetics	153	59	212
33	demographics	178	24	202
34	architecture	34	165	199
35	publishing	128	55	183
36	willingness_to_pay	177	6	183
37	medical_research	170	7	177
38	natural_gas	161	14	175
39	currency	150	23	173
40	information_technology	131	40	171
41	unemployment	139	28	167
42	consciousness	114	50	164
43	computer_aided_design	84	79	163
44	photography	123	39	162
45	welfare	120	37	157
46	air_pollution	137	19	156
47	bacteria	90	62	152
48	personality	65	87	152
49	risk_assessment	115	35	150
50	user_interface	60	87	147
51	deposit_insurance	137	6	143
52	spelling	100	37	137
53	private_sector	106	23	129
54	space_shuttle	72	56	128
55	quality_of_service	107	16	123
56	nitrogen	111	12	123
57	interpersonal_communication	44	74	118
58	cad	35	81	116
59	traffic_congestion	67	48	115
60	globalization	94	18	112
61	liability	83	29	112
62	inventory_control	86	25	111
63	human_resource_management	89	21	110
64	tourism	73	36	109
65	batch_processing	100	9	109
66	information_sharing	93	14	107
67	computer_programming	88	19	107
68	clothing	76	31	107
69	construction_industry	90	17	107
70	blindness	83	23	106
71	nervous_system	99	7	106
72	pharmacy	72	31	103
73	creativity	39	62	101
74	purchasing	64	35	99
75	foreign_exchange	92	7	99
76	fault_tolerance	49	50	99
77	relocation	85	9	94
78	enhanced_oil_recovery	84	6	90
79	statistical_analysis	30	59	89
80	customer_satisfaction	79	9	88
81	older_people	76	11	87
82	baby_boomers	76	9	85
83	computer_simulation	59	24	83
84	turnover	69	10	79
85	educational_technology	52	26	78
86	law_enforcement	57	20	77
87	certification	42	33	75
88	accreditation	47	27	74
89	data_envelopment_analysis	63	9	72
90	job_satisfaction	37	35	72
91	digitization	46	25	71
92	business_development	66	5	71
93	tax_reform	64	6	70
94	underwriting	60	9	69
95	energy_conservation	57	12	69
96	petroleum_industry	44	21	65
97	piano	53	12	65
98	word_processing	47	17	64
99	arbitration	46	18	64
100	arbitrage	54	8	62
101	building_automation	51	10	61
102	organizational_behavior	50	9	59
103	universe	33	25	58
104	data_entry	51	5	56
105	mysticism	46	9	55
106	space_exploration	39	15	54
107	world_war_ii	30	24	54
108	immigration	31	23	54
109	rapid_prototyping	34	18	52
110	air_conditioning	25	26	51
111	military_service	42	7	49
112	vocational_education	20	29	49
113	entertainment	25	23	48
114	national_security	36	12	48
115	night_vision	38	9	47
116	local_government	30	16	46
117	labor_relations	38	8	46
118	academic_achievement	21	21	42
119	investment_banking	32	10	42
120	building_construction	32	9	41
121	data_transmission	18	23	41
122	wool	36	5	41
123	dance	26	14	40
124	trouble_shooting	34	5	39
125	mass_media	21	18	39
126	business_information	30	8	38
127	international_business	30	6	36
128	water_pollution	28	7	35
129	snow	21	14	35
130	judaism	24	10	34
131	prosperity	21	11	32
132	working_hours	21	10	31
133	adult_education	17	12	29
134	food_service	10	13	23
135	english_language	14	6	20
