rank	token	news_count	paper_count	total_count
1	automation	3650	172	3822
2	software	1948	449	2397
3	office_automation	931	7	938
4	politics	43	788	831
5	manufacturing	797	17	814
6	productivity	568	97	665
7	cost_control	633	10	643
8	systems_design	510	52	562
9	financial_services	468	12	480
10	data_processing	411	67	478
11	revenue	415	36	451
12	population	12	437	449
13	electronic_data_interchange	371	11	382
14	information_technology	330	48	378
15	architecture	162	210	372
16	information_management	346	18	364
17	strategic_planning	308	48	356
18	computer_graphics	224	117	341
19	earnings	321	18	339
20	retail_banking	316	5	321
21	user_interface	208	98	306
22	visualization	19	281	300
23	cost_reduction	263	17	280
24	fuzzy_logic	22	252	274
25	technological_change	219	44	263
26	cmos	117	143	260
27	purchasing	215	44	259
28	inventory_control	221	33	254
29	product_testing	240	5	245
30	health_care	111	133	244
31	information_storage	237	6	243
32	small_business	225	11	236
33	bankruptcy	195	17	212
34	publishing	133	78	211
35	organizational_structure	157	44	201
36	data_collection	127	69	196
37	fault_tolerance	143	46	189
38	chief_executive_officer	168	9	177
39	aviation	126	46	172
40	agriculture	71	94	165
41	international_business	150	10	160
42	natural_language	65	95	160
43	silicon	60	97	157
44	competitive_advantage	122	30	152
45	magnetic_resonance_imaging	20	131	151
46	access_control	124	24	148
47	syntax	16	131	147
48	information_processing	72	74	146
49	human_resource_management	108	30	138
50	traffic_congestion	103	32	135
51	legislation	89	44	133
52	disease	26	103	129
53	certification	90	39	129
54	human_resources	98	29	127
55	documentation	53	72	125
56	interactive_media	116	9	125
57	standardization	57	68	125
58	superconductivity	15	108	123
59	technology_transfer	102	20	122
60	word_processing	93	29	122
61	cancer	41	79	120
62	risk_assessment	63	53	116
63	radio_frequency	62	54	116
64	data_compression	24	92	116
65	growth_rate	105	10	115
66	comprehension	16	96	112
67	cad	6	106	112
68	risk_management	85	26	111
69	data_transmission	76	32	108
70	project_management	58	49	107
71	spacecraft	17	90	107
72	debugging	68	38	106
73	ethernet	94	12	106
74	tourism	70	35	105
75	cybernetics	44	61	105
76	animation	26	79	105
77	computer_simulation	74	28	102
78	personality	26	76	102
79	radiation	18	83	101
80	statistical_analysis	23	78	101
81	clothing	66	34	100
82	biometrics	24	74	98
83	electronics	41	57	98
84	digitization	60	36	96
85	turnover	80	15	95
86	underwriting	86	8	94
87	performance_management	85	9	94
88	local_government	72	21	93
89	cost_analysis	86	6	92
90	management_styles	83	9	92
91	economies_of_scale	79	10	89
92	space_exploration	78	11	89
93	science_education	54	35	89
94	rehabilitation	33	56	89
95	vocational_education	63	22	85
96	batch_processing	77	8	85
97	workforce	60	24	84
98	relocation	71	13	84
99	athletes	70	14	84
100	older_people	75	8	83
101	site_selection	54	28	82
102	medical_imaging	17	65	82
103	multiprocessing	30	52	82
104	welfare	33	47	80
105	intellectual_property	64	15	79
106	public_sector	48	30	78
107	air_traffic_control	44	33	77
108	security_management	71	5	76
109	immigration	31	44	75
110	consciousness	17	58	75
111	transportation_planning	56	18	74
112	air_pollution	44	30	74
113	construction_industry	65	9	74
114	unemployment	26	44	70
115	building_automation	59	10	69
116	chemical_vapor_deposition	54	15	69
117	petroleum_industry	56	13	69
118	continuing_education	51	17	68
119	real_estate	61	7	68
120	case_management	57	9	66
121	universe	38	26	64
122	computer_aided_design	7	57	64
123	space_shuttle	17	46	63
124	video_production	55	8	63
125	electricity	27	35	62
126	gallium_arsenide	47	13	60
127	credit_risk	48	12	60
128	empowerment	39	21	60
